,"('A', 0)","('A', 1)","('A', 2)","('O', 0)","('O', 1)","('O', 2)","('R', 0)","('R', 1)","('R', 2)"
156,1,0,1,0,2,1,0,0,2
157,0,1,1,2,1,1,0,2,2
158,1,0,1,0,2,1,0,0,2
159,1,0,1,0,2,1,0,0,2
160,0,1,1,2,1,1,0,2,2
161,1,0,1,0,2,1,0,0,2
162,0,1,1,2,1,1,0,2,2
163,1,0,1,0,2,1,0,0,2
164,1,0,1,0,2,1,0,0,2
165,0,1,1,2,1,1,0,2,2
166,1,0,1,0,2,1,0,0,2
167,0,1,1,2,1,1,0,2,2
168,1,0,1,0,2,1,0,0,2
169,1,0,1,0,2,1,0,0,2
170,0,1,1,2,1,1,0,2,2
171,1,0,1,0,2,1,0,0,2
172,1,0,1,0,2,1,0,0,2
173,0,1,1,2,1,1,0,2,2
174,0,1,1,2,1,1,0,2,2
175,1,0,1,0,2,1,0,0,2
176,1,0,1,0,2,1,0,0,2
177,1,0,1,0,2,1,0,0,2
178,0,1,1,2,1,1,0,2,2
179,0,1,1,2,1,1,0,2,2
180,1,0,1,0,2,1,0,0,2
181,1,0,1,0,2,1,0,0,2
182,0,1,1,2,1,1,0,2,2
183,1,0,1,0,2,1,0,0,2
184,0,1,1,2,1,1,0,2,2
185,0,1,1,2,1,1,0,2,2
186,0,1,1,2,1,1,0,2,2
187,1,0,1,0,2,1,0,0,2
188,0,1,1,2,1,1,0,2,2
189,0,1,1,2,1,1,0,2,2
190,0,1,1,2,1,1,0,2,2
191,1,0,1,0,2,1,0,0,2
192,1,0,1,0,2,1,0,0,2
193,0,1,1,2,1,1,0,2,2
194,1,0,1,0,2,1,0,0,2
195,0,1,1,2,1,1,0,2,2
196,0,1,1,2,1,1,0,2,2
197,0,1,1,2,1,1,0,2,2
198,1,0,1,0,2,1,0,0,2
199,0,1,1,2,1,1,0,2,2
200,0,1,1,2,1,1,0,2,2
201,1,0,1,0,2,1,0,0,2
202,0,1,1,2,1,1,0,2,2
203,0,1,1,2,1,1,0,2,2
204,1,0,1,0,2,1,0,0,2
205,0,1,1,2,1,1,0,2,2
206,1,0,1,0,2,1,0,0,2
207,0,1,1,2,1,1,0,2,2
208,0,1,1,2,1,1,0,2,2
209,0,1,1,2,1,1,0,2,2
210,0,1,1,2,1,1,0,2,2
211,1,0,1,0,2,1,0,0,2
212,1,0,1,0,2,1,0,0,2
213,0,1,1,2,1,1,0,2,2
214,0,1,1,2,1,1,0,2,2
215,1,0,1,0,2,1,0,0,2
216,0,1,1,2,1,1,0,2,2
217,0,1,1,2,1,1,0,2,2
218,1,0,1,0,2,1,0,0,2
219,0,1,1,2,1,1,0,2,2
220,0,1,1,2,1,1,0,2,2
221,0,1,1,2,1,1,0,2,2
222,1,0,1,0,2,1,0,0,2
223,1,0,1,0,2,1,0,0,2
224,0,1,1,2,1,1,0,2,2
225,0,1,1,2,1,1,0,2,2
226,1,0,1,0,2,1,0,0,2
227,0,1,1,2,1,1,0,2,2
228,0,1,1,2,1,1,0,2,2
229,1,0,1,0,2,1,0,0,2
230,0,1,1,2,1,1,0,2,2
231,1,0,1,0,2,1,0,0,2
232,1,0,1,0,2,1,0,0,2
233,0,1,1,2,1,1,0,2,2
234,1,0,1,0,2,1,0,0,2
235,1,0,1,0,2,1,0,0,2
236,0,1,1,2,1,1,0,2,2
237,0,1,1,2,1,1,0,2,2
238,1,0,1,0,2,1,0,0,2
239,0,1,1,2,1,1,0,2,2
240,1,0,1,0,2,1,0,0,2
241,0,1,1,2,1,1,0,2,2
242,1,0,1,0,2,1,0,0,2
243,0,1,1,2,1,1,0,2,2
244,0,1,1,2,1,1,0,2,2
245,0,1,1,2,1,1,0,2,2
246,0,1,1,2,1,1,0,2,2
247,0,1,1,2,1,1,0,2,2
248,1,0,1,0,2,1,0,0,2
249,0,1,1,2,1,1,0,2,2
250,1,0,1,0,2,1,0,0,2
251,0,1,1,2,1,1,0,2,2
252,1,0,1,0,2,1,0,0,2
253,0,1,1,2,1,1,0,2,2
254,0,1,1,2,1,1,0,2,2
255,0,1,1,2,1,1,0,2,2
256,1,1,1,0,1,1,0,0,1
257,1,1,1,0,1,1,0,0,1
258,1,1,1,0,1,1,0,0,1
259,1,1,1,0,1,1,0,0,1
260,1,1,1,0,1,1,0,0,1
261,1,1,1,0,1,1,0,0,1
262,1,1,1,0,1,1,0,0,1
263,1,1,1,0,1,1,0,0,1
264,1,1,1,0,1,1,0,0,1
265,1,1,1,0,1,1,0,0,1
266,1,1,1,0,1,1,0,0,1
267,1,1,1,0,1,1,0,0,1
268,1,1,1,0,1,1,0,0,1
269,1,1,1,0,1,1,0,0,1
270,1,1,1,0,1,1,0,0,1
271,1,1,1,0,1,1,0,0,1
272,1,1,1,0,1,1,0,0,1
273,1,1,1,0,1,1,0,0,1
274,1,1,1,0,1,1,0,0,1
275,1,1,1,0,1,1,0,0,1
276,1,1,1,0,1,1,0,0,1
277,1,1,1,0,1,1,0,0,1
278,1,1,1,0,1,1,0,0,1
279,1,1,1,0,1,1,0,0,1
280,1,1,1,0,1,1,0,0,1
281,1,1,1,0,1,1,0,0,1
282,1,1,1,0,1,1,0,0,1
283,1,1,1,0,1,1,0,0,1
284,1,1,1,0,1,1,0,0,1
285,1,1,1,0,1,1,0,0,1
286,1,1,1,0,1,1,0,0,1
287,1,1,1,0,1,1,0,0,1
288,1,1,1,0,1,1,0,0,1
289,1,1,1,0,1,1,0,0,1
290,1,1,1,0,1,1,0,0,1
291,1,1,1,0,1,1,0,0,1
292,1,1,1,0,1,1,0,0,1
293,1,1,1,0,1,1,0,0,1
294,1,1,1,0,1,1,0,0,1
295,1,1,1,0,1,1,0,0,1
296,1,1,1,0,1,1,0,0,1
297,1,1,1,0,1,1,0,0,1
298,1,1,1,0,1,1,0,0,1
299,1,1,1,0,1,1,0,0,1
300,1,1,1,0,1,1,0,0,1
301,1,1,1,0,1,1,0,0,1
302,1,1,1,0,1,1,0,0,1
303,1,1,1,0,1,1,0,0,1
304,1,1,1,0,1,1,0,0,1
305,1,1,1,0,1,1,0,0,1
306,1,1,1,0,1,1,0,0,1
307,1,1,1,0,1,1,0,0,1
308,1,1,1,0,1,1,0,0,1
309,1,1,1,0,1,1,0,0,1
310,1,1,1,0,1,1,0,0,1
311,1,1,1,0,1,1,0,0,1
312,1,1,1,0,1,1,0,0,1
313,1,1,1,0,1,1,0,0,1
314,1,1,1,0,1,1,0,0,1
315,1,1,1,0,1,1,0,0,1
316,1,1,1,0,1,1,0,0,1
317,1,1,1,0,1,1,0,0,1
318,1,1,1,0,1,1,0,0,1
319,1,1,1,0,1,1,0,0,1
320,1,1,1,0,1,1,0,0,1
321,1,1,1,0,1,1,0,0,1
322,1,1,1,0,1,1,0,0,1
323,1,1,1,0,1,1,0,0,1
324,1,1,1,0,1,1,0,0,1
325,1,1,1,0,1,1,0,0,1
326,1,1,1,0,1,1,0,0,1
327,1,1,1,0,1,1,0,0,1
328,1,1,1,0,1,1,0,0,1
329,1,1,1,0,1,1,0,0,1
330,1,1,1,0,1,1,0,0,1
331,1,1,1,0,1,1,0,0,1
332,1,1,1,0,1,1,0,0,1
333,1,1,1,0,1,1,0,0,1
334,1,1,1,0,1,1,0,0,1
335,1,1,1,0,1,1,0,0,1
336,1,1,1,0,1,1,0,0,1
337,1,1,1,0,1,1,0,0,1
338,1,1,1,0,1,1,0,0,1
339,1,1,1,0,1,1,0,0,1
340,1,1,1,0,1,1,0,0,1
341,1,1,1,0,1,1,0,0,1
342,1,1,1,0,1,1,0,0,1
343,1,1,1,0,1,1,0,0,1
344,1,1,1,0,1,1,0,0,1
345,1,1,1,0,1,1,0,0,1
346,1,1,1,0,1,1,0,0,1
347,1,1,1,0,1,1,0,0,1
348,1,1,1,0,1,1,0,0,1
349,1,1,1,0,1,1,0,0,1
350,1,1,1,0,1,1,0,0,1
351,1,1,1,0,1,1,0,0,1
352,1,1,1,0,1,1,0,0,1
353,1,1,1,0,1,1,0,0,1
354,1,1,1,0,1,1,0,0,1
355,1,1,1,0,1,1,0,0,1
356,1,1,1,0,1,1,0,0,1
357,1,1,1,0,1,1,0,0,1
358,1,1,1,0,1,1,0,0,1
359,1,1,1,0,1,1,0,0,1
360,1,1,1,0,1,1,0,0,1
361,1,1,1,0,1,1,0,0,1
362,1,1,1,0,1,1,0,0,1
363,1,1,1,0,1,1,0,0,1
364,1,1,1,0,1,1,0,0,1
365,1,1,1,0,1,1,0,0,1
366,1,1,1,0,1,1,0,0,1
367,1,1,1,0,1,1,0,0,1
368,1,1,1,0,1,1,0,0,1
369,1,1,1,0,1,1,0,0,1
370,1,1,1,0,1,1,0,0,1
371,1,1,1,0,1,1,0,0,1
372,1,1,1,0,1,1,0,0,1
373,1,1,1,0,1,1,0,0,1
374,1,1,1,0,1,1,0,0,1
375,1,1,1,0,1,1,0,0,1
376,1,1,1,0,1,1,0,0,1
377,1,1,1,0,1,1,0,0,1
378,1,1,1,0,1,1,0,0,1
379,1,1,1,0,1,1,0,0,1
380,1,1,1,0,1,1,0,0,1
381,1,1,1,0,1,1,0,0,1
382,1,1,1,0,1,1,0,0,1
383,1,1,1,0,1,1,0,0,1
384,1,1,1,0,1,1,0,0,1
385,1,1,1,0,1,1,0,0,1
386,1,1,1,0,1,1,0,0,1
387,1,1,1,0,1,1,0,0,1
388,1,1,1,0,1,1,0,0,1
389,1,1,1,0,1,1,0,0,1
390,1,1,1,0,1,1,0,0,1
391,1,1,1,0,1,1,0,0,1
392,1,1,1,0,1,1,0,0,1
393,1,1,1,0,1,1,0,0,1
394,1,1,1,0,1,1,0,0,1
395,1,1,1,0,1,1,0,0,1
396,1,1,1,0,1,1,0,0,1
397,1,1,1,0,1,1,0,0,1
398,1,1,1,0,1,1,0,0,1
399,1,1,1,0,1,1,0,0,1
400,1,1,1,0,1,1,0,0,1
401,1,1,1,0,1,1,0,0,1
402,1,1,1,0,1,1,0,0,1
403,1,1,1,0,1,1,0,0,1
404,1,1,1,0,1,1,0,0,1
405,1,1,1,0,1,1,0,0,1
406,1,1,1,0,1,1,0,0,1
407,1,1,1,0,1,1,0,0,1
408,1,1,1,0,1,1,0,0,1
409,1,1,1,0,1,1,0,0,1
410,1,1,1,0,1,1,0,0,1
411,1,1,1,0,1,1,0,0,1
412,1,1,1,0,1,1,0,0,1
413,1,1,1,0,1,1,0,0,1
414,1,1,1,0,1,1,0,0,1
415,1,1,1,0,1,1,0,0,1
416,1,1,1,0,1,1,0,0,1
417,1,1,1,0,1,1,0,0,1
418,1,1,1,0,1,1,0,0,1
419,1,1,1,0,1,1,0,0,1
420,1,1,1,0,1,1,0,0,1
421,1,1,1,0,1,1,0,0,1
422,1,1,1,0,1,1,0,0,1
423,1,1,1,0,1,1,0,0,1
424,1,1,1,0,1,1,0,0,1
425,1,1,1,0,1,1,0,0,1
426,1,1,1,0,1,1,0,0,1
427,1,1,1,0,1,1,0,0,1
428,1,1,1,0,1,1,0,0,1
429,1,1,1,0,1,1,0,0,1
430,1,1,1,0,1,1,0,0,1
431,1,1,1,0,1,1,0,0,1
432,1,1,1,0,1,1,0,0,1
433,1,1,1,0,1,1,0,0,1
434,1,1,1,0,1,1,0,0,1
435,1,1,1,0,1,1,0,0,1
436,1,1,1,0,1,1,0,0,1
437,1,1,1,0,1,1,0,0,1
438,1,1,1,0,1,1,0,0,1
439,1,1,1,0,1,1,0,0,1
440,1,1,1,0,1,1,0,0,1
441,1,1,1,0,1,1,0,0,1
442,1,1,1,0,1,1,0,0,1
443,1,1,1,0,1,1,0,0,1
444,1,1,1,0,1,1,0,0,1
445,1,1,1,0,1,1,0,0,1
446,1,1,1,0,1,1,0,0,1
447,1,1,1,0,1,1,0,0,1
448,1,1,1,0,1,1,0,0,1
449,1,1,1,0,1,1,0,0,1
450,1,1,1,0,1,1,0,0,1
451,1,1,1,0,1,1,0,0,1
452,1,1,1,0,1,1,0,0,1
453,1,1,1,0,1,1,0,0,1
454,1,1,1,0,1,1,0,0,1
455,1,1,1,0,1,1,0,0,1
456,1,1,1,0,1,1,0,0,1
457,1,1,1,0,1,1,0,0,1
458,1,1,1,0,1,1,0,0,1
459,1,1,1,0,1,1,0,0,1
460,1,1,1,0,1,1,0,0,1
461,1,1,1,0,1,1,0,0,1
462,1,1,1,0,1,1,0,0,1
463,1,1,1,0,1,1,0,0,1
464,1,1,1,0,1,1,0,0,1
465,1,1,1,0,1,1,0,0,1
466,1,1,1,0,1,1,0,0,1
467,1,1,1,0,1,1,0,0,1
468,1,1,1,0,1,1,0,0,1
469,1,1,1,0,1,1,0,0,1
470,1,1,1,0,1,1,0,0,1
471,1,1,1,0,1,1,0,0,1
472,1,1,1,0,1,1,0,0,1
473,1,1,1,0,1,1,0,0,1
474,1,1,1,0,1,1,0,0,1
475,1,1,1,0,1,1,0,0,1
476,1,1,1,0,1,1,0,0,1
477,1,1,1,0,1,1,0,0,1
478,1,1,1,0,1,1,0,0,1
479,1,1,1,0,1,1,0,0,1
480,1,1,1,0,1,1,0,0,1
481,1,1,1,0,1,1,0,0,1
482,1,1,1,0,1,1,0,0,1
483,1,1,1,0,1,1,0,0,1
484,1,1,1,0,1,1,0,0,1
485,1,1,1,0,1,1,0,0,1
486,1,1,1,0,1,1,0,0,1
487,1,1,1,0,1,1,0,0,1
488,1,1,1,0,1,1,0,0,1
489,1,1,1,0,1,1,0,0,1
490,1,1,1,0,1,1,0,0,1
491,1,1,1,0,1,1,0,0,1
492,1,1,1,0,1,1,0,0,1
493,1,1,1,0,1,1,0,0,1
494,1,1,1,0,1,1,0,0,1
495,1,1,1,0,1,1,0,0,1
496,1,1,1,0,1,1,0,0,1
497,1,1,1,0,1,1,0,0,1
498,1,1,1,0,1,1,0,0,1
499,1,1,1,0,1,1,0,0,1
500,1,1,1,0,1,1,0,0,1
501,1,1,1,0,1,1,0,0,1
502,1,1,1,0,1,1,0,0,1
503,1,1,1,0,1,1,0,0,1
504,1,1,1,0,1,1,0,0,1
505,1,1,1,0,1,1,0,0,1
506,1,1,1,0,1,1,0,0,1
507,1,1,1,0,1,1,0,0,1
508,1,1,1,0,1,1,0,0,1
509,1,1,1,0,1,1,0,0,1
510,1,1,1,0,1,1,0,0,1
511,1,1,1,0,1,1,0,0,1
512,1,1,1,0,1,1,0,0,1
513,1,1,1,0,1,1,0,0,1
514,1,1,1,0,1,1,0,0,1
515,1,1,1,0,1,1,0,0,1
516,1,1,1,0,1,1,0,0,1
